Localización,Precio m2 jun 2022,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
España,"11,2 €/m2","+ 1,6 %","+ 4,2 %","+ 4,8 %","11,5 €/m2 sep 2020","- 2,3 %"
Andalucía,"9,2 €/m2","+ 1,3 %","+ 2,6 %","+ 6,2 %","9,5 €/m2 ene 2006","- 3,0 %"
Almería provincia,"7,1 €/m2","+ 2,2 %","+ 5,7 %","+ 9,9 %","7,8 €/m2 nov 2006","- 9,1 %"
Almería,"7,5 €/m2","+ 1,8 %","+ 2,4 %","+ 12,8 %","7,5 €/m2 jun 2022","0,0 %"
Cádiz provincia,"8,9 €/m2","+ 3,8 %","+ 8,7 %","+ 10,1 %","10,0 €/m2 abr 2006","- 11,5 %"
Cádiz,"10,0 €/m2","0,0 %","0,0 %","+ 3,7 %","10,0 €/m2 mayo 2022","0,0 %"
Córdoba provincia,"7,2 €/m2","+ 1,4 %","+ 1,9 %","+ 0,4 %","7,2 €/m2 jun 2022","0,0 %"
Córdoba,"7,6 €/m2","+ 1,7 %","+ 1,0 %","+ 1,5 %","7,6 €/m2 jun 2022","0,0 %"
Granada provincia,"7,9 €/m2","+ 1,3 %","+ 1,0 %","+ 1,3 %","8,4 €/m2 abr 2008","- 6,8 %"
Granada,"8,1 €/m2","0,0 %","- 1,7 %","+ 1,3 %","8,4 €/m2 feb 2021","- 3,7 %"
Huelva provincia,"8,9 €/m2","+ 3,5 %","+ 17,0 %","+ 15,6 %","11,3 €/m2 jul 2006","- 21,4 %"
Huelva,"7,5 €/m2","+ 0,2 %","+ 0,2 %","+ 9,4 %","7,5 €/m2 jun 2022","0,0 %"
Jaén provincia,"5,3 €/m2","+ 0,5 %","+ 8,3 %","+ 6,0 %","5,3 €/m2 jun 2022","0,0 %"
Jaén,"6,4 €/m2","+ 0,4 %","+ 2,1 %","+ 6,9 %","6,4 €/m2 jun 2022","0,0 %"
Málaga provincia,"11,3 €/m2","+ 3,8 %","+ 9,3 %","+ 19,1 %","11,3 €/m2 jun 2022","0,0 %"
Málaga,"10,5 €/m2","+ 2,0 %","+ 4,4 %","+ 11,7 %","10,5 €/m2 jun 2022","0,0 %"
Sevilla provincia,"9,4 €/m2","+ 1,5 %","+ 3,9 %","+ 2,2 %","9,7 €/m2 jun 2020","- 3,2 %"
Sevilla,"10,3 €/m2","+ 1,7 %","+ 2,8 %","+ 4,8 %","10,7 €/m2 mayo 2020","- 4,5 %"
Aragón,"8,2 €/m2","+ 0,8 %","+ 2,5 %","+ 3,2 %","8,2 €/m2 jun 2022","0,0 %"
Huesca provincia,"7,9 €/m2","+ 1,1 %","+ 6,5 %","- 0,6 %","8,1 €/m2 nov 2021","- 2,3 %"
Huesca,"7,8 €/m2","+ 0,7 %","+ 7,2 %","+ 9,0 %","7,8 €/m2 jun 2022","0,0 %"
Teruel provincia,"5,9 €/m2","- 3,3 %","+ 10,0 %","+ 10,0 %","6,1 €/m2 mayo 2022","- 3,3 %"
Teruel,"6,8 €/m2","- 2,6 %","+ 13,8 %","+ 8,7 %","7,0 €/m2 mayo 2022","- 2,6 %"
Zaragoza provincia,"8,4 €/m2","+ 1,0 %","+ 1,8 %","+ 3,4 %","8,4 €/m2 jun 2022","0,0 %"
Zaragoza,"8,7 €/m2","+ 0,8 %","+ 2,0 %","+ 4,5 %","8,7 €/m2 jun 2022","0,0 %"
Asturias,"7,8 €/m2","+ 0,4 %","+ 1,2 %","+ 3,5 %","10,8 €/m2 feb 2008","- 28,0 %"
Asturias,"7,8 €/m2","+ 0,4 %","+ 1,2 %","+ 3,5 %","10,8 €/m2 feb 2008","- 28,0 %"
Oviedo,"8,0 €/m2","- 0,1 %","0,0 %","+ 3,0 %","8,1 €/m2 feb 2010","- 1,3 %"
Baleares,"13,9 €/m2","+ 2,2 %","+ 10,7 %","+ 18,4 %","14,0 €/m2 jun 2018","- 0,7 %"
Baleares,"13,9 €/m2","+ 2,2 %","+ 10,7 %","+ 18,4 %","14,0 €/m2 jun 2018","- 0,7 %"
Palma de Mallorca,"11,9 €/m2","+ 0,9 %","+ 3,0 %","+ 8,9 %","12,4 €/m2 mayo 2020","- 3,4 %"
Canarias,"11,1 €/m2","+ 1,1 %","+ 5,8 %","+ 11,5 %","11,1 €/m2 jun 2022","0,0 %"
Las Palmas,"11,8 €/m2","+ 0,5 %","+ 5,7 %","+ 12,8 %","11,8 €/m2 jun 2022","0,0 %"
Las Palmas de Gran Canaria,"10,7 €/m2","+ 2,7 %","+ 8,4 %","+ 8,0 %","10,7 €/m2 jun 2022","0,0 %"
Santa Cruz de Tenerife provincia,"10,0 €/m2","+ 2,4 %","+ 5,3 %","+ 8,6 %","10,0 €/m2 jun 2022","0,0 %"
Santa Cruz de Tenerife,"9,2 €/m2","+ 2,1 %","+ 1,1 %","+ 7,1 %","9,2 €/m2 jun 2022","0,0 %"
Cantabria,"9,3 €/m2","+ 2,4 %","+ 5,7 %","+ 12,5 %","12,7 €/m2 ago 2007","- 26,6 %"
Cantabria,"9,3 €/m2","+ 2,4 %","+ 5,7 %","+ 12,5 %","12,7 €/m2 ago 2007","- 26,6 %"
Santander,"9,0 €/m2","+ 1,1 %","0,0 %","+ 6,3 %","9,0 €/m2 abr 2022","- 0,4 %"
Castilla y León,"7,3 €/m2","- 0,1 %","+ 3,7 %","+ 3,9 %","7,3 €/m2 mayo 2022","- 0,1 %"
Ávila provincia,"5,6 €/m2","- 1,8 %","+ 2,1 %","+ 2,5 %","5,7 €/m2 mayo 2022","- 1,8 %"
Ávila,"6,0 €/m2","- 2,5 %","+ 1,1 %","+ 5,0 %","6,2 €/m2 abr 2022","- 3,5 %"
Burgos provincia,"7,4 €/m2","+ 0,5 %","+ 1,7 %","+ 3,3 %","7,4 €/m2 jun 2022","0,0 %"
Burgos,"7,8 €/m2","+ 0,5 %","+ 1,8 %","+ 3,8 %","7,8 €/m2 jun 2022","0,0 %"
León provincia,"6,1 €/m2","+ 0,6 %","+ 0,9 %","+ 1,9 %","6,1 €/m2 jun 2022","0,0 %"
León,"6,7 €/m2","- 0,3 %","+ 1,3 %","+ 2,5 %","6,8 €/m2 mayo 2020","- 0,6 %"
Palencia provincia,"6,3 €/m2","+ 1,6 %","+ 2,8 %","+ 4,4 %","6,3 €/m2 dic 2021","- 0,7 %"
Palencia,"6,6 €/m2","+ 2,4 %","+ 2,7 %","+ 4,9 %","6,7 €/m2 dic 2021","- 1,1 %"
Salamanca provincia,"7,9 €/m2","- 1,5 %","+ 2,1 %","+ 3,6 %","8,1 €/m2 mayo 2022","- 1,5 %"
Salamanca,"8,2 €/m2","- 1,8 %","+ 1,2 %","+ 3,9 %","8,3 €/m2 mayo 2022","- 1,8 %"
Segovia provincia,"8,0 €/m2","+ 3,9 %","+ 5,0 %","+ 8,6 %","8,0 €/m2 jun 2022","0,0 %"
Segovia,"9,0 €/m2","+ 1,2 %","+ 4,9 %","+ 9,8 %","9,0 €/m2 jun 2022","0,0 %"
Soria provincia,"6,4 €/m2","- 0,3 %","+ 3,7 %","+ 7,9 %","6,4 €/m2 mayo 2022","- 0,3 %"
Soria,"6,8 €/m2","- 0,8 %","- 2,3 %","+ 2,3 %","7,1 €/m2 feb 2022","- 4,2 %"
Valladolid provincia,"7,1 €/m2","+ 1,1 %","+ 1,9 %","+ 2,3 %","7,1 €/m2 jun 2022","0,0 %"
Valladolid,"7,3 €/m2","+ 1,5 %","+ 2,2 %","+ 1,6 %","7,4 €/m2 mayo 2020","- 1,4 %"
Zamora provincia,"5,6 €/m2","+ 0,2 %","+ 3,0 %","+ 8,1 %","5,6 €/m2 jun 2022","0,0 %"
Zamora,"5,9 €/m2","- 1,7 %","+ 1,9 %","+ 6,9 %","6,0 €/m2 mayo 2022","- 1,7 %"
Castilla-La Mancha,"6,2 €/m2","+ 1,2 %","+ 2,7 %","+ 5,4 %","6,2 €/m2 jun 2022","0,0 %"
Albacete provincia,"6,3 €/m2","+ 1,5 %","+ 1,8 %","+ 3,8 %","6,3 €/m2 jun 2022","0,0 %"
Albacete,"6,7 €/m2","+ 0,8 %","- 0,9 %","+ 5,2 %","6,8 €/m2 dic 2021","- 1,1 %"
Ciudad Real provincia,"5,5 €/m2","+ 0,5 %","+ 1,4 %","+ 4,6 %","5,5 €/m2 jun 2022","0,0 %"
Ciudad Real,"6,0 €/m2","+ 0,1 %","- 0,4 %","+ 7,9 %","6,3 €/m2 dic 2010","- 5,0 %"
Cuenca provincia,"5,8 €/m2","- 0,5 %","+ 6,3 %","+ 8,5 %","5,8 €/m2 mayo 2022","- 0,5 %"
Cuenca,"6,9 €/m2","- 2,7 %","+ 7,3 %","+ 11,5 %","7,1 €/m2 mayo 2022","- 2,7 %"
Guadalajara provincia,"7,1 €/m2","+ 1,0 %","+ 3,6 %","+ 5,3 %","7,1 €/m2 jun 2022","0,0 %"
Guadalajara,"7,7 €/m2","+ 2,0 %","+ 3,8 %","+ 7,4 %","7,7 €/m2 jun 2022","0,0 %"
Toledo provincia,"6,4 €/m2","+ 2,4 %","+ 4,8 %","+ 5,8 %","6,4 €/m2 jun 2022","0,0 %"
Toledo,"7,6 €/m2","+ 0,4 %","+ 3,0 %","+ 2,8 %","7,6 €/m2 jun 2022","0,0 %"
Cataluña,"14,5 €/m2","+ 1,4 %","+ 4,6 %","+ 8,2 %","15,2 €/m2 mayo 2020","- 4,8 %"
Barcelona provincia,"15,2 €/m2","+ 1,3 %","+ 4,7 %","+ 10,0 %","15,9 €/m2 mayo 2020","- 4,3 %"
Barcelona,"17,2 €/m2","+ 1,6 %","+ 6,6 %","+ 18,2 %","17,6 €/m2 mayo 2020","- 2,2 %"
Girona provincia,"11,4 €/m2","+ 6,6 %","+ 8,1 %","+ 19,0 %","12,3 €/m2 ago 2007","- 7,4 %"
Girona,"10,5 €/m2","+ 3,5 %","+ 7,3 %","+ 12,9 %","10,5 €/m2 jun 2022","0,0 %"
Lleida provincia,"7,9 €/m2","+ 3,2 %","+ 1,8 %","+ 1,9 %","10,3 €/m2 dic 2021","- 23,4 %"
Lleida,"7,7 €/m2","+ 0,6 %","+ 3,3 %","+ 7,4 %","7,7 €/m2 jun 2022","0,0 %"
Tarragona provincia,"8,0 €/m2","+ 0,8 %","+ 4,7 %","+ 3,9 %","9,2 €/m2 ago 2007","- 13,2 %"
Tarragona,"8,6 €/m2","- 1,2 %","+ 3,6 %","+ 2,2 %","8,7 €/m2 mayo 2022","- 1,2 %"
Comunitat Valenciana,"8,5 €/m2","+ 2,7 %","+ 5,7 %","+ 11,5 %","9,4 €/m2 feb 2006","- 9,2 %"
Alicante/Alacant,"8,2 €/m2","+ 3,0 %","+ 6,0 %","+ 14,9 %","9,2 €/m2 abr 2006","- 11,0 %"
Alicante / Alacant,"8,4 €/m2","+ 2,1 %","+ 6,0 %","+ 14,3 %","8,4 €/m2 jun 2022","0,0 %"
Castellón/Castelló,"7,2 €/m2","+ 2,8 %","+ 9,1 %","+ 13,3 %","8,3 €/m2 mayo 2007","- 14,1 %"
Castellón de la Plana / Castello de la Plana,"6,6 €/m2","- 0,6 %","- 0,6 %","+ 3,8 %","6,8 €/m2 abr 2022","- 2,7 %"
Valencia/Valéncia,"9,0 €/m2","+ 2,4 %","+ 5,0 %","+ 9,8 %","9,7 €/m2 ago 2006","- 7,9 %"
València,"10,0 €/m2","+ 1,1 %","+ 2,8 %","+ 13,5 %","10,0 €/m2 jun 2022","0,0 %"
Euskadi,"12,4 €/m2","+ 0,3 %","+ 1,0 %","+ 2,1 %","12,4 €/m2 oct 2021","- 0,2 %"
Álava,"10,2 €/m2","+ 0,7 %","+ 1,6 %","+ 4,8 %","10,2 €/m2 jun 2022","0,0 %"
Vitoria-Gasteiz,"10,4 €/m2","- 0,2 %","+ 1,2 %","+ 4,0 %","10,4 €/m2 mayo 2022","- 0,2 %"
Guipúzcoa,"14,2 €/m2","+ 2,1 %","+ 2,8 %","+ 4,3 %","14,5 €/m2 nov 2021","- 2,3 %"
Donostia-San Sebastián,"15,3 €/m2","+ 2,7 %","+ 2,6 %","+ 6,2 %","15,8 €/m2 nov 2021","- 2,6 %"
Vizcaya,"12,1 €/m2","0,0 %","+ 1,4 %","+ 2,7 %","12,1 €/m2 jun 2022","0,0 %"
Bilbao,"12,7 €/m2","- 0,2 %","+ 0,3 %","+ 2,2 %","13,2 €/m2 feb 2020","- 4,1 %"
Extremadura,"5,7 €/m2","+ 1,5 %","+ 3,1 %","+ 4,9 %","5,7 €/m2 jun 2022","0,0 %"
Badajoz provincia,"5,8 €/m2","+ 1,7 %","+ 2,4 %","+ 2,4 %","5,8 €/m2 ago 2021","- 1,1 %"
Badajoz,"6,4 €/m2","+ 0,5 %","+ 1,4 %","+ 2,4 %","6,4 €/m2 dic 2021","- 0,1 %"
Cáceres provincia,"5,6 €/m2","+ 1,3 %","+ 4,5 %","+ 9,1 %","5,6 €/m2 jun 2022","0,0 %"
Cáceres,"6,3 €/m2","+ 1,6 %","+ 4,6 %","+ 13,2 %","6,3 €/m2 jun 2022","0,0 %"
Galicia,"7,8 €/m2","+ 1,4 %","+ 4,1 %","+ 4,8 %","8,7 €/m2 mayo 2007","- 10,8 %"
A Coruña provincia,"7,3 €/m2","+ 0,9 %","+ 2,0 %","+ 4,9 %","7,3 €/m2 abr 2008","- 0,7 %"
A Coruña,"8,4 €/m2","+ 0,2 %","+ 0,3 %","+ 5,3 %","8,4 €/m2 jun 2022","0,0 %"
Lugo provincia,"5,9 €/m2","+ 5,2 %","+ 8,4 %","+ 10,4 %","5,9 €/m2 jun 2022","0,0 %"
Lugo,"6,3 €/m2","+ 3,3 %","+ 2,2 %","+ 9,3 %","6,3 €/m2 jun 2022","0,0 %"
Ourense provincia,"5,7 €/m2","- 0,6 %","+ 4,0 %","- 1,7 %","6,0 €/m2 oct 2020","- 5,1 %"
Ourense,"5,9 €/m2","- 1,3 %","+ 3,1 %","- 2,5 %","6,4 €/m2 oct 2020","- 7,8 %"
Pontevedra provincia,"9,6 €/m2","+ 3,5 %","+ 7,7 %","+ 4,6 %","9,6 €/m2 jun 2022","0,0 %"
Pontevedra,"7,3 €/m2","- 1,8 %","+ 1,8 %","+ 7,3 %","7,4 €/m2 mayo 2022","- 1,8 %"
La Rioja,"7,3 €/m2","+ 2,1 %","+ 3,3 %","+ 4,7 %","7,3 €/m2 jun 2022","0,0 %"
La Rioja,"7,3 €/m2","+ 2,1 %","+ 3,3 %","+ 4,7 %","7,3 €/m2 jun 2022","0,0 %"
Logroño,"7,3 €/m2","- 0,4 %","+ 0,1 %","+ 2,8 %","7,4 €/m2 mayo 2022","- 0,4 %"
Madrid Comunidad,"14,5 €/m2","+ 1,6 %","+ 4,2 %","+ 5,7 %","15,4 €/m2 mayo 2020","- 5,7 %"
Madrid provincia,"14,5 €/m2","+ 1,6 %","+ 4,2 %","+ 5,7 %","15,4 €/m2 mayo 2020","- 5,7 %"
Madrid,"15,7 €/m2","+ 1,6 %","+ 4,6 %","+ 7,9 %","16,8 €/m2 mayo 2020","- 6,5 %"
Melilla,"9,2 €/m2","- 0,3 %","+ 1,0 %","- 0,1 %","9,5 €/m2 jun 2013","- 3,7 %"
Melilla provincia,"9,2 €/m2","- 0,3 %","+ 1,0 %","- 0,1 %","9,5 €/m2 jun 2013","- 3,7 %"
Melilla,"9,2 €/m2","- 0,3 %","+ 1,0 %","- 0,1 %","9,5 €/m2 jun 2013","- 3,7 %"
Murcia Región,"7,3 €/m2","+ 3,8 %","+ 8,6 %","+ 7,2 %","7,3 €/m2 jun 2022","0,0 %"
Murcia provincia,"7,3 €/m2","+ 3,8 %","+ 8,6 %","+ 7,2 %","7,3 €/m2 jun 2022","0,0 %"
Murcia,"7,6 €/m2","+ 3,7 %","+ 6,4 %","+ 5,9 %","7,6 €/m2 jun 2022","0,0 %"
Navarra,"9,3 €/m2","+ 0,5 %","+ 1,5 %","+ 3,7 %","9,3 €/m2 jun 2022","0,0 %"
Navarra,"9,3 €/m2","+ 0,5 %","+ 1,5 %","+ 3,7 %","9,3 €/m2 jun 2022","0,0 %"
Pamplona/Iruña,"9,8 €/m2","+ 0,5 %","+ 1,7 %","+ 3,2 %","9,9 €/m2 dic 2021","- 0,6 %"
